Time,Current,State
0.0,1.0,1
0.001,1.0,1
0.002,1.0,1
0.003,0.0,0
0.004,1.0,1
0.005,1.0,1
0.006,1.0,1
0.007,1.0,1
0.008,1.0,1
0.009000000000000001,1.0,1
0.01,1.0,1
0.011,1.0,1
0.012,1.0,1
0.013000000000000001,1.0,1
0.014,1.0,1
0.015,1.0,1
0.016,1.0,1
0.017,0.0,0
0.018000000000000002,0.0,0
0.019,1.0,1
0.02,2.0,2
0.021,2.0,2
0.022,2.0,2
0.023,0.0,0
0.024,1.0,1
0.025,1.0,1
0.026000000000000002,1.0,1
0.027,1.0,1
0.028,1.0,1
0.029,2.0,2
0.03,0.0,0
0.031,1.0,1
0.032,1.0,1
0.033,1.0,1
0.034,1.0,1
0.035,1.0,1
0.036000000000000004,1.0,1
0.037,1.0,1
0.038,1.0,1
0.039,1.0,1
0.04,1.0,1
0.041,1.0,1
0.042,1.0,1
0.043000000000000003,1.0,1
0.044,0.0,0
0.045,0.0,0
0.046,1.0,1
0.047,1.0,1
0.048,1.0,1
0.049,1.0,1
0.05,1.0,1
0.051000000000000004,1.0,1
0.052000000000000005,0.0,0
0.053,1.0,1
0.054,1.0,1
0.055,1.0,1
0.056,0.0,0
0.057,1.0,1
0.058,1.0,1
0.059000000000000004,1.0,1
0.06,1.0,1
0.061,1.0,1
0.062,0.0,0
0.063,1.0,1
0.064,2.0,2
0.065,2.0,2
0.066,2.0,2
0.067,2.0,2
0.068,2.0,2
0.069,2.0,2
0.07,2.0,2
0.07100000000000001,2.0,2
0.07200000000000001,2.0,2
0.073,0.0,0
0.074,1.0,1
0.075,1.0,1
0.076,1.0,1
0.077,1.0,1
0.078,1.0,1
0.079,1.0,1
0.08,1.0,1
0.081,1.0,1
0.082,1.0,1
0.083,1.0,1
0.084,1.0,1
0.085,1.0,1
0.08600000000000001,0.0,0
0.08700000000000001,1.0,1
0.088,1.0,1
0.089,1.0,1
0.09,1.0,1
0.091,2.0,2
0.092,2.0,2
0.093,2.0,2
0.094,0.0,0
0.095,2.0,2
0.096,2.0,2
0.097,2.0,2
0.098,2.0,2
0.099,0.0,0
0.1,1.0,1
0.101,1.0,1
0.10200000000000001,1.0,1
0.10300000000000001,1.0,1
0.10400000000000001,1.0,1
0.105,1.0,1
0.106,1.0,1
0.107,1.0,1
0.108,1.0,1
0.109,1.0,1
0.11,1.0,1
0.111,1.0,1
0.112,1.0,1
0.113,1.0,1
0.114,1.0,1
0.115,1.0,1
0.116,1.0,1
0.117,1.0,1
0.11800000000000001,1.0,1
0.11900000000000001,1.0,1
0.12,1.0,1
0.121,1.0,1
0.122,1.0,1
0.123,1.0,1
0.124,1.0,1
0.125,1.0,1
0.126,1.0,1
0.127,1.0,1
0.128,2.0,2
0.129,2.0,2
0.13,2.0,2
0.131,2.0,2
0.132,2.0,2
0.133,2.0,2
0.134,2.0,2
0.135,2.0,2
0.136,2.0,2
0.137,2.0,2
0.138,2.0,2
0.139,2.0,2
0.14,0.0,0
0.14100000000000001,1.0,1
0.14200000000000002,1.0,1
0.14300000000000002,1.0,1
0.14400000000000002,0.0,0
0.145,1.0,1
0.146,1.0,1
0.147,1.0,1
0.148,0.0,0
0.149,2.0,2
0.15,2.0,2
0.151,0.0,0
0.152,1.0,1
0.153,0.0,0
0.154,1.0,1
0.155,1.0,1
0.156,1.0,1
0.157,1.0,1
0.158,1.0,1
0.159,1.0,1
0.16,1.0,1
0.161,1.0,1
0.162,1.0,1
0.163,1.0,1
0.164,1.0,1
0.165,1.0,1
0.166,0.0,0
0.167,1.0,1
0.168,2.0,2
0.169,2.0,2
0.17,2.0,2
0.171,2.0,2
0.17200000000000001,2.0,2
0.17300000000000001,2.0,2
0.17400000000000002,0.0,0
0.17500000000000002,0.0,0
0.176,1.0,1
0.177,1.0,1
0.178,1.0,1
0.179,1.0,1
0.18,1.0,1
0.181,1.0,1
0.182,1.0,1
0.183,2.0,2
0.184,2.0,2
0.185,2.0,2
0.186,2.0,2
0.187,0.0,0
0.188,0.0,0
0.189,1.0,1
0.19,1.0,1
0.191,1.0,1
0.192,1.0,1
0.193,1.0,1
0.194,1.0,1
0.195,1.0,1
0.196,1.0,1
0.197,1.0,1
0.198,1.0,1
0.199,2.0,2
0.2,2.0,2
0.201,2.0,2
0.202,2.0,2
0.203,0.0,0
0.20400000000000001,1.0,1
0.20500000000000002,1.0,1
0.20600000000000002,1.0,1
0.20700000000000002,1.0,1
0.20800000000000002,1.0,1
0.209,1.0,1
0.21,1.0,1
0.211,1.0,1
0.212,1.0,1
0.213,1.0,1
0.214,1.0,1
0.215,1.0,1
0.216,1.0,1
0.217,1.0,1
0.218,1.0,1
0.219,1.0,1
0.22,1.0,1
0.221,2.0,2
0.222,2.0,2
0.223,0.0,0
0.224,1.0,1
0.225,1.0,1
0.226,1.0,1
0.227,1.0,1
0.228,1.0,1
0.229,1.0,1
0.23,1.0,1
0.231,1.0,1
0.232,1.0,1
0.233,1.0,1
0.234,1.0,1
0.23500000000000001,1.0,1
0.23600000000000002,1.0,1
0.23700000000000002,1.0,1
0.23800000000000002,1.0,1
0.23900000000000002,1.0,1
0.24,1.0,1
0.241,0.0,0
0.242,0.0,0
0.243,1.0,1
0.244,1.0,1
0.245,1.0,1
0.246,1.0,1
0.247,0.0,0
0.248,1.0,1
0.249,0.0,0
0.25,1.0,1
0.251,1.0,1
0.252,1.0,1
0.253,1.0,1
0.254,1.0,1
0.255,1.0,1
0.256,1.0,1
0.257,1.0,1
0.258,1.0,1
0.259,1.0,1
0.26,0.0,0
0.261,1.0,1
0.262,1.0,1
0.263,1.0,1
0.264,1.0,1
0.265,1.0,1
0.266,1.0,1
0.267,1.0,1
0.268,1.0,1
0.269,1.0,1
0.27,1.0,1
0.271,1.0,1
0.272,1.0,1
0.273,1.0,1
0.274,1.0,1
0.275,0.0,0
0.276,1.0,1
0.277,1.0,1
0.278,1.0,1
0.279,1.0,1
0.28,0.0,0
0.281,1.0,1
0.28200000000000003,1.0,1
0.28300000000000003,1.0,1
0.28400000000000003,1.0,1
0.28500000000000003,1.0,1
0.28600000000000003,1.0,1
0.28700000000000003,1.0,1
0.28800000000000003,1.0,1
0.289,1.0,1
0.29,2.0,2
